Date (dd/mm/yyyy),Date (mm/dd/yyyy),Title,English Title,Link,Sentiment,Kurds in Turkey,Kurds in Syria,Kurds in Iraq,Kurds in Iran,Turkey's National Security,Independence or Autonomy,PKK/SDF/YPG/YPJ/YBS/QSD,Which group?,ISIS/Daesh,Undefined terrorism or national security threat,Full Text
1998-04-01,1/4/1998,Türkiye Dışişleri Bakanı Sayın İsmail Cem'in İtalyan mevkidaşı Sayın Lamberto Dini'ye Yasadışı İnsan Ticaretine İlişkin Cevabına Gönderdiği Mektup 4 Ocak 1998,"Letter sent by Turkish Foreign Minister Mr. İsmail Cem in reply to his Italian counterpart Mr. Lamberto Dini regarding Illegal Trafficking of Human-Being January 4,1998",https://www.mfa.gov.tr/letter-sent-by-turkish-foreign-minister-mr_-ismail-cem-in-reply-to-his-italian-counterpart-mr_-lamberto-dini-regarding-illegal-trafficking-of-human-being__br_january-4__1998.en.mfa,,0,0,0,0,0,0,0,0,0,0,"Dear Colleague and Friend, 
 
 I have received your letter of 30 December 1997 and given careful consideration to its contents. 
 
 We have been following the repercussions of the attempted illegal immigration to Italy. We understand your concerns and we symphatize with them. To be helpful, I would like to convey our views on the points that you raise and on some others which I consider as essential. 
 
 1- I do not agree with the repeated analogy made with ""exodus"" in your text. If the analyses of the recent events is based on wrong presumptions it will be difficult to reach genuine solutions. 
 
 I am sensitive on this terminology for Turkey has both historically and contemporarily constituted a safe heaven, a country which ""sheltered the exodist"". 
 
 Let me recall that in 1988 and in 1991, more than half a million asylum seekers from Northern Iraq have found shelter and assistance in Turkey. Iranian masses fleeing the newly founded radical regime, Bulgarian Turks and Bosnians were welcomed in our country, as this was the case in our history, when tens of thousand of persecuted Jews from Spain, Portugal and Germany found tolerance and a home in Turkey. 
 
 2- The current problem is a blatant case of illegal trafficking in human beings, an extremely serious form of organized crime. This criminal activity is based on the exploitation of the understandable desire to have a better life. To present this basic cause as a romanticised human rights problem deviates from reality, encourages those who organize illegal immigration and serves their interest. It provides the traffickers with a moral justification. Furthermore, official and ministerial statements reported by the Italian press and which are perceived as promises to grant political asylum to illegal immigrants would probably encourage and trigger new waves of migration. 
 
 3- Illegal migration has always been a source of concern for Turkey. We have consistently sought multilateral cooperation against all form of organized crime and international terrorism. 
 
 We have drawn attention to their interrelation, to the funding of terrorism by organized crime like the organization of illegal migrations and to networks of crime established in Western Europe under various guises. 
 
 4- Our efforts to devise and implement common measures against organized crime including illegal immigration have so far remained inconclusive. This is largely due to false analyses or to miscalculation prevailing in some Western European countries. Their policies meant in practice a tolerance for terror related activities. These acts were, in principle, aimed to Turkey and not considered as a danger to the host country. As a matter of fact, the current case of illegal immigration is just one of the offshoots of the complaisant attitude existing in some parts of Western Europe. The events in Italy are the logical follow up of some 90.000 such smuggled illegal immigrants to Germany in recent years, organized by similar networks and encouraged by similar attitudes (Paul Geitner, ""Illegal Migrants Turn to Smugglers"", Associated Press, 19/04/1997). 
 
 We hope that the countries concerned will be more receptive to our persistent calls for combating international terrorism and organized crime. 
 
 5- The illegal trafficking of human beings has been a subject of consideration between Italy and Turkey and it has recently been agreed to make use of and develop the provisions of the existing agreements. We remain committed to such cooperation with Italy and to work for its refinement. 
 
 (a) Following our meeting with Deputy Minister Fassino, last November, the Italian Undersecretary for the Interior Ministry had contacts in Ankara. My staff had relevant interviews with your Ambassador in Ankara. 
 
 (b) In these contacts, we have proposed the meeting of the Turkish-Italian Joint Committee to look for enhanced cooperation against organized crime and for joint initiatives. It seems that the Italian side has not yet responded to this proposal. We are ready to cooperate with our Italian counterparts on all possible joint efforts. 
 
 (c) We are taking all measures needed to stem illegal immigration as an organized crime, through or from Turkey. But I would underline as well the need for dealing effectively with its connections in the favorable environment that it generally finds in its host West-European countries. 
 
 Yours Sincerely, 
 
 H.E. Mr. Lamberto Dini 
 
 İsmail Cem 
 
 Minister of Foreign Affairs 
 of the Republic of Italy 
 
 Minister of Foreign Affairs 
 Republic of Turkey"
1998-03-03,3/3/1998,Türk ve Ürdün Tarafları Tarafından Verilen Ortak Tebliğ; Sn. İsmail Cem'in Ürdün Haşimi Krallığı'na Resmi Ziyareti 3 Mart 1998,"Joint Communique Given By Turkish And Jordan Sides During;Mr. İsmail Cem´s Official Visit to the Hashemite Kingdom of Jordan March 3, 1998",https://www.mfa.gov.tr/joint-communique-given-by-turkish-and-jordan-sides-during_mr_-ismail-cem_s-official-visit-to-the-hashemite-kingdom-of-jordan_br_march-3_-1998.en.mfa,,0,0,0,0,0,0,0,0,0,0,"On 26-27 February 1998, His Excellency Mr. Ismail Cem, Minister Of Foreign Affairs Of The Republic Of Turkey Paid An Official Visit To The Hashemite Kingdom Of Jordan. 
 
 During The Visit His Excellency Ismail Cem Was Received By His Majesty King Hussein Bin Talal And Had Talks With His Royal Highness Crown Prince Hassan Bin Talal And Prime Minister Dr. Abdul Salam Majali And The Deputy Prime Minister And Foreign Minister Dr. Jawad Anani. 
 
 His Excellency Mr. Ismail Cem's Visit To Jordan Gave The Two Sides An Opportunity To Exchange Views On Bilateral And Regional Issues. 
 
 Both Sides Underlined Their Satisfaction For The Rapid Development Of The Relations Between Turkey And Jordan Based On Deep Rooted Cultural And Historical Ties Between Their Two Peoples. 
 
 The Parties Expressed That Further Development Of Their Already Close Relations Would Benefit Both Their Countries And Peoples As Well As The Entire Region And Constitute A Very Important Element For Regional Peace, Stability, Cooperation And Prdsperity. 
 
 The Two Sides Agreed On The Need To Further Improve The Economic Relations Between Their Countries And Decided To Take The Necessary Steps To Diversify And Increase The Volume Of Their Bilateral Trade And Explore Concrete Projects To Prdmote Their Economic Cooperation. 
 
 Both Sides Also Stressed The Importance Of Cultural Exchange In Order To Deepen Their Mutual Understanding And Enhance Regional Security. 
 
 The Two Sides Acknowledged The Importance Of The Middle East Peace Process And Expressed Their Continuing Support For Its Progress Towards The Establishment Of Just, Lasting And Comprehensive Peace In The Region. The Two Sides Underlined Their Concern Regarding The Current Impasse Faced In The Middle East Peace Process. 
 
 Turkey And Jordan Expressed Their Firm Belief And Hope That The Parties To The Middle East Peace Process Should Endeavor To Overcome The Current Impasse And Fulfill Their Commitments. Both Sides Emphasized The Need For The Israeli Government To Take The Necessary Steps To Help Putting The Peace Process Back On Tracr And To Expedite The Implementation Of The Agreements It Had Entered Into With The Pna. They Agreed That The Early Reactivation Of The Middle East Peace Process Would Contribute To Stability And Peace In The Region. 
 
 Both Sides Expressed Their Views That The Improvement Of The Economic Situation Of Palestine Will Contribute To Stability In The Region. The Two Foreign Ministers Stressed That The Steps Taren In The Middle East Peace Process Should Contribute To Raise The Living Standards Of The Palestinians. The Two Sides Believe That The International Community Is Obliged To Take The Necessary Measures In This Direction. 
 
 Turkey And Jordan Exchanged Views On The Situation In Iraq. Both Sides Have Expressed Satisfaction That The Crisis Between The Un And Iraq Has Been Defused Through Diplomatic Means Without Further Escalation. The Two Ministers Expressed Their Appreciation Over The Initiative Taken By Various Countries And In Particular The Role Of The Un Secretary General Whose Good Offices And Personal Efforts Have Been Instrumental In Obtaining An Acceptable Solution. 
 
 They Emphasized The Vital Importance Of The Preservation Of The Territorial Integrity And Political Unity Of Iraq. 
 
 The Two Sides Reiterated Their View That The Only Way To Prevent The Recurrence Of Such Crises Would He Iraq's Full And Unconditional Compliance With The Un Security Council Resolutions. Within This Framework, The Parties Reiterated The 
 
 Importance Of Iraq's Full Cooperation With The United Nations Special Commission Which Would Encourage The International Community To Endeavor Towards Bringing Solutions To The Problems That Have Occurred Since The Gulf War. 
 
 Turkey And Jordan Appreciated The Adoption, By The Security Council, Of The Resolution N0:1153 Increasing The Amount Of Petroleum That Can Be Exported By Iraq And The Quantity And Types Of The Supplies To Be Imported. 
 
 The Two Sides Expressed Their Desire That Crises Similar To The One That Has Been Experienced Between Iraq And The Un Should Not Recur. To This End The Neighbors Of Iraq Should Consider Developing A Scheme For Gradual Normalization Of The Situation Around Iraq To Be Implemented In Line With Iraq's Cooperation With The International Community In Order To Promote Conditions For Security, Safety, Stability, And Prosperity In The Region. 
 
 The Jordanian Side Welcomed Turkey's Neighborly Peace Initiative Set Forth By The Turkish Foreign Minister During His Visit To Baghdad On 4-5 February 1998, Envisaging An Arrangement For Iraq And Its Neighbors, Consisting Of Following Components: 
 
 - An Arrangement For Iraq And All Its Neighbors For Regional Security And Cooperation Comprising Confidence And Security Huilding Measures, Not Excluding An Institutionalized Framework. 
 
 - An Initiative Aiming At Establishing A Zone Free Of Mass Destruction Weapons And Their Delivery Systems In The Middle East As Envisaged In Unsc Resolution 687 And The Jordan-Israel Peace Treaty Of 1994. 
 
 - Support For Efforts Which Would Facilitate The Lifting Of All Economic Sanctions On The Iraqi People. 
 
 - A Sequential Plan Which Would Assure The Security Of The Entire Iraqi Population And Enabling Iraq To Exercise Its Sovereignty Over Its Territory. 
 
 The Peaceful Resolution Of The Iraqi Crisis And The Reintegration Of Iraq In The International Community Should Be Enhanced By A Comprehensive Review Of Security And Cooperation In The Middle East Region As A Whole. The Helsinki Process Intra-Regional Security Mechanisms And Conflict Resolution Centre Should Be Introduced To The Region Wtth The Full Consensus Of The Regional States And International Community. 
 
 Turkey And Jordan Consider That This Initiative Could Constitute A Sound Basis For Solving Issues Pending From The Gulf War. To This End, Both Stdes Agreed To Make Every Effort To Convene A Neighbourhood Forum For The Realization Of The Above Mentioned Four Points And To Coordinate Their Efforts With Other Regional And Interested States. 
 
 Both Sides, Reiterated The Importance Of Establishing Appropriate Mechanisms And Expandtng Contacts At All Levels For Consultations On Bilateral And Regional Issues. In This Vein, They Agreed To Arrange Meetings At Senior Officials Level Every Two Months Or At Any Time One Of Them Deem It Necessary In Order T0 Review Developments In Their Bilateral Relations, Their Contributions To The Middle East Peace Process And Progress Towards The Establishment Of The Neighbourhood Forum. 
 
 His Excellency Ismail Cem Thanked For The Warm Hospitality Accorded To Him And His Delegation And Invited His Excellency Dr. Jawad Anani To Visit Turkey. The Invitation Was Accepted With Thanks. The Dates Of This Visit Will Be Fixed Through Diplomatic Channels."
20/10/1998,10/20/1998,Dışişleri Bakanı İsmail Cem'in Türkiye-Suriye Arasında Yapılan Özel Güvenlik Toplantısına İlişkin 20 Ekim 1998 tarihli Açıklaması (Resmi Olmayan Çeviri),"Statement Made By İsmail Cem, Foreign Minister, On The Special Security Meeting Held Between Turkey And Syria October 20, 1998 (Unofficial Translation)",https://www.mfa.gov.tr/_p_statement-made-by-ismail-cem_-foreign-minister_-on-the-special-security-meeting-held-between-turkey-and-syria_br_october-20_-1998_br__unofficial-translation___p_.en.mfa,,0,0,0,0,0,0,1,PKK,0,0,"""We will carefully monitor the implementation by Syria of their commitments"" 
 
 Foreign Minister İsmail Cem release a statement on the outcome of the Special Security Meeting held with the participation of the Turkish and Syrian authorities. 
 
 Mr.Cem, in his statement said the following: 
 
 The Special Security Meeting between Turkey and Syria has ended and the agreed text has been signed by Turkish Deputy Undersecretary Uğur Ziyal and Major General Adnan Badr Al Hassan on the Syrian side. 
 
 This text is not confidential and will be released to the press. 
 
 As will be seen from the text, Syria has undertaken commitments to satisfy Turkey's security concerns. 
 
 We will carefully monitor Syria's adherence to and implementation of these commitments. 
 
 At this stage, the attitude that Syria adopted in the Special Security Meeting is satisfactory. It is expected that Syria will continue to maintain same constructive approach in implementation. 
 
 Outcome of the Special Security Meeting was taken up today (20 October) in a meeting at the Foreign Ministry. High level officials from relevant government departments participated in this meeting and it was established that there exists unanimity of views on the outcome of the Special Security Meeting. 
 
 MINUTES 
 
 In light of the messages conveyed on behalf of Syria by the President of the Arab Republic of Egypt, H.E.Mr. Hosni Mubarak and by the Iranian Foreign Minister H.E.Mr. Kamal Kharrazi on behalf of the Iranian President H.E.Mr. Seyid Mohammed Khatemi and by the Foreign Minister of the Arab Republic of Egypt H.E. Mr. Amr Moussa, the Turkish and Syrian delegations whose names are in the attached list (annex 1) have met in Adana on 19 and 20 October 1998 to discuss the issue of cooperation in combating terrorism. 
 
 In the meeting the Turkish side repeated the Turkish demands presented to the Egyptian President (annex 2) to eliminate the current tension in their relations.Furthermore, the Turkish side brought to the attention of the Syrian side the reply that was received from Syria through the Arab Republic of Egypt, which entails the following commitments : 
 
 1. As of now, Öcalan is not in Syria and he definitely will not be allowed to enter Syria. 
 
 2. PKK elements abroad will not be permitted to enter Syria. 
 
 3. As of now PKK camps are not operational and definitely will not be allowed to become active. 
 
 4. Many PKK members have been arrested and have been taken to court. Their lists have been prepared. Syria presented these lists to the Turkish side. 
 
 The Syrian side has confirmed the above mentioned points. Furthermore, the sides also have agreed on the following points: 
 
 1. Syria, on the basis of the principle of reciprocity, will not permit any activity which emanates from its territory aimed at jeopardizing the security and stability of Turkey. Syria will not allow the supply of weapons, logistic material, financial support to and propaganda activities of the PKK on its territory. 
 
 2. Syria has recognized that the PKK is a terrorist organization. Syria has, alongside other terrorist organizations, prohibited all activities of the PKK and its affiliated organizations on its territory. 
 
 3. Syria will not allow the PKK to establish camps and other facilities for training and shelter or to have commercial activities on its territory. 
 
 4. Syria will not allow PKK members to use its country for transit to third countries. 
 
 5. Syria will take all necessary measures to prevent the chieftain of the PKK terrorist organization from entering into Syrian territory and will instruct its authorities at border points to that effect. 
 
 Both sides have agreed to establish certain mechanisms for the effective and transparent implementation of the measures mentioned above. 
 
 In this context; 
 
 a) A direct phone link will immediately be established and operated between the high level security authorities of the two countries. 
 
 b) The Sides will appoint two special representatives each to their diplomatic missions and these officials will be presented to the authorities of the host-country by the heads of mission. 
 
 c) The Turkish side, within the context of combating terrorism, has proposed to the Syrian side to establish a system that will enable the monitoring of security enhancing measures and their effectiveness. The Syrian side has stated that it will present this proposal to its authorities for approval and will reply as soon as possible. 
 
 d) The Turkish and Syrian sides, contingent upon obtaining Lebanon's consent, have agreed to take up the issue of the combat against PKK terrorism in a tripartite framework. 
 
 e) The Syrian side commits itself to take the necessary measures for the implementation of the points mentioned in this ""Minutes"" and for the achievement of concrete results. 
 
 Adana, October 20,1998 
 
 For the Turkish Delegation 
 Ambassador Uğur Ziyal 
 Ministry of Foreign Affairs 
 Deputy Under-Secretary For the Syrian Delegation 
 Ambassador Major General Adnan 
 Badr Al-Hassan 
 Head of Political Security Affairs 
 Annex:2 
 
 TURKEY'S SPECIFIC DEMANDS FROM SYRIA 
 
 In order to normalize our relations, we expect Syria to comply with the basic norms and principles of international relations.In this regard, the following specific demands should be met: 
 
 *Given the fact that Turkish-Syrian relations were seriously +damaged by Syrian support for terrorism, we want Syria to accept formally its obligations and renounce its previous stand on this matter. These obligations should include a formal commitment not to give terrorists support, sanctuary, and financial assistance. Syria should also prosecute PKK perpetrators and extradite to Turkey the chief of the PKK, Abdullah Öcalan and his collaborators. 
 
 *Within this framework, Syria should not: 
 
 * Permit camps for terrorist training to operate in territories under its control, 
 
 * Provide weapons, logistic materials to the PKK, 
 
 * Provide fraud identification documents to PKK members, 
 
 * Help terrorists for their legal passage and infiltration into Turkey, 
 
 * Permit the propaganda activities of the terrorists organization, 
 
 * Allow the PKK to operate in accommodations in its territory, 
 
 * Facilitate the passages of terrorists from the third countries (Europe, Greece, Southern Cyprus, Iran, Libya, Armenia) to northern Iraq and Turkey. 
 
 * Cooperation in all activities aimed at fighting terrorism. 
 
 * Refrainment from inciting other countries which are members of the Arab League against Turkey. 
 
 * In the light of the above, unless Syria rescinds from these acts immediately, with all the consequences, Turkey reserves the right to exercise her inherent right of self-defense, and under all circumstances to demand just compensation for the loss of life and property. Indeed, these views were transmitted to Syria through diplomatic channels on 23 January 1996. However, our warnings have fallen on deaf ears."
21/12/1998,12/21/1998,"Türkiye, Irak'a Yönelik ABD-İngiltere Ortak Hava Harekâtının Durdurulmasını Memnuniyetle Karşılıyor. 21 Aralık 1998 (Resmi Olmayan Tercüme)",Turkey Welcomes The Cessation Of The Joint US-UK Air Operation Against Iraq. 21 December 1998 (Unofficial Translation),https://www.mfa.gov.tr/turkey-welcomes-the-cessation-of-the-joint-us-uk-air-operation-against-iraq__br_21-december-1998_br__unofficial-translation__br_.en.mfa,,0,0,0,0,0,0,0,0,0,0,"Turkey welcomes the cessation on 20 December of the joint US-UK air operation against Iraq that they started on 16 December as a result of the report by the UNSCOM chairman that Iraq had not cooperated with the Commission as required. We deeply regret the loss of life that occurred in Iraq during the operation. 
 
 As was stated by our Foreign Minister on 17 December, Turkey attaches great importance to the preservation of Iraq's territorial integrity and political unity, and believes that Iraq, as an important country in the region, must comply fully with the UN Security Council resolutions, and thereby should re-take its position in the international community of nations. At this stage, we sincerely hope that, Iraq first and foremost and the international community and the UN Security Council will increase their efforts to this end. 
 
 Turkey will continue its consultations with all interested countries on this subject in an intensified manner."
28/12/1998,12/28/1998,Basın Bülteni Irak güçleri ile ABD Uçağı arasında yaşanan son çatışmaya ilişkin. 28 Aralık 1998 (RESMİ OLMAYAN ÇEVİRİ),Press Release Regarding the latest clash between Iraqi forces and the US Aircraft. 28 December 1998 (UNOFFICIAL TRANSLATION),https://www.mfa.gov.tr/_p_press-release-regarding-the-latest-clash-between-iraqi-forces_br_and-the-us-aircraft__br_28-december-1998_br__unofficial-translation__br___p_.en.mfa,,0,0,0,0,0,0,0,0,0,0,"Today, Iraqi forces missiles fired ground-to-air against three US aircraft that had been on their ordinary reconnaissance flights in the framework of the Operation Northern Watch. US fighter aircraft fired back. 
 
 It is viewed necessary for the stability in the region that any attempts to hinder the routine implementation of the Operation Northern Watch, which has been in effect since 1991 under different names, must be avoided."
1999-08-01,1/8/1999,Atina'daki Türk Diplomatik Misyon Üyelerine Yönelik Tehditlerin Basın Bülteni (Resmi Olmayan Çeviri) 8 Ocak 1999,"Press Release Regarding the Threats Against the Members of the Turkish Diplomatic Missions In Athens (Unofficial Translation) January 8, 1999",https://www.mfa.gov.tr/press-release-regarding-the-threats-against-the-members-of-the-turkish-diplomatic-missions-in-athens_br__unofficial-translation__br_january-8_-1999_br_.en.mfa,,0,0,0,0,0,0,1,PKK,0,0,"It is observed that the threats against the members of the Turkish Diplomatic missions in Athens are recently being resumed. In this context, the terrorist organization ""November 17"" has threatened to take action against the personnel of the Turkish General Consulate in Athens. 
 
 On the other hand, a manifesto of the organization called ""Greek Liberty Front of Captive Homelands"" has been published under the heading ""the Agents of Ankara will be punished"" in an extreme rightist newspaper in Athens. The manifesto referred to Turkish diplomats as targets and called upon the extremist groups to take action against the Turkish Diplomatic Missions in Greece. 
 
 It is known that members of some authoritative Greek circles frequently encourage the terrorist groups in Greece through their statements. On the other hand, Greece's support of PKK terrorism finds its expression in the statements of the Greek officials. In such an environment, we remind once more the Greek authorities of their responsibilities, expect them to regard seriously the threats against our Diplomatic Missions and take appropriate measures for the security of the personnel as well as the premises of the Turkish Diplomatic missions in Greece."
14/01/1999,1/14/1999,Dışişleri Bakanlığı Sözcüsü Büyükelçi Necati Utkan'ın Patriot Füzeleri Konulu Soruya Cevabı 14 Ocak 1999,"Statement by Ambassador Necati Utkan, Spokesman of the Foreign Ministry in Response to a Question Regarding Patriot Missiles January 14, 1999",https://www.mfa.gov.tr/statement-by-ambassador-necati-utkan_-spokesman-of-the-foreign-ministry-in-response-to-a-question-regarding-patriot-missiles_br_january-14_-1999.en.mfa,,0,0,0,0,0,0,0,0,0,0,"QUESTION: There are some reports that Patriot missiles will be deployed in Turkey. What is the situation? 
 
 ANSWER:Our government considers it useful to take all appropriate measures required for caution to be maintained in the developments in Northern Iraq. In that context, it is felt that ""Patriot"" missiles could have a useful role to play and the US has been asked whether such missiles could be brought to Turkey. The US response has been positive. The subject is being treated in the context of developments."
17/01/1999,1/17/1999,Terörist Şef Abdullah Öcalan'la İlgili Son Gelişmeler Hk. (Resmi Olmayan Çeviri) 17 Ocak 1999,"Press Release Regarding The Recent Developments About Terrorist Chief Abdullah Ocalan (Unofficial Translation) January 17, 1999",https://www.mfa.gov.tr/press-release-regarding-the-recent-developments-about-_br_terrorist-chief-abdullah-ocalan_br__unofficial-translation__br_january-17_-1999.en.mfa,,0,0,0,0,0,0,1,PKK,0,0,"1. It has been announced by the Italian government that the terrorist chief was compelled to leave Italy where he had been staying for some time. 
 
 2. As a result of Turkey’s determined efforts, the terrorist chief had been forced to leave Syria and prevented from staying in Moscow. 
 
 3. The terrorist chief attempted to make Roma a center for terrorism and called for wide support in Europe for separatist terror. These attempts have been rendered fruitless by us. Public in Western Europe finally started to realise the real and ugly face of the terrorist organisation. 
 
 4. Turkey, as a state of law, has always approached the issue from the viewpoint of international cooperation against combating terrorism and demanded that the terrorist chief be brought before the justice. Yet, it has been observed that the Italian authorities, unable to find a way out of this issue that they themselves had created, acted in contravention of legal and judicial requirements. 
 
 5. Despite Turkey’s insistence that law be applied, Italian authorities, with a unilateral decision, made it possible for the terrorist chief to leave Rome. 
 
 6. Turkey will maintain its determined attitude. Terrorist chief will not be able to escape from justice. 
 
 7. All steps required by the developments are being taken in coordination with the other government agencies."
19/01/1999,1/19/1999,Terörist Şef Abdullah Öcalan'ın İtalya'dan Ayrılışına İlişkin Basın Duyurusu (Resmi Olmayan Çeviri) 19 Ocak 1999,"Press Release Regarding The Departure Of Terrorist Chief Abdullah Ocalan From Italy (Unofficial Translation) January 19, 1999",https://www.mfa.gov.tr/press-release-regarding-the-departure-of-terrorist-chief-abdullah-ocalan-from-italy_br__unofficial-translation__br_january-19_-1999-.en.mfa,,0,0,0,0,0,0,1,PKK,0,0,"1. During the terrorist chief’s stay in Rome, the Italian government received poor marks in terms of justice and law. It failed to fulfil its obligations under international agreements to combat terrorism, and distorted the judiciary process in Italy by exerting political influence. 
 
 2. This being the case, it has been deemed meaningless and unfitting for the Italian Prime Minister to state that “Turkey did not cooperate on the subject of international tribunal”, to display an attitude of not knowing “where” the terrorist chief went, and to claim that “the subject will be examined at international level”. 
 
 3. It has finally received wide acceptance, also with the help of the ugliness displayed by the terrorist chief in Italy, that such pursuits which were obviously undertaken under threats and pressure from the terrorist organisation, are devoid of realism and seriousness. Turkey, from the beginning, has followed an open policy based on international law, and demanded that the chief of this known terrorist organisation be brought to justice. 
 
 4. At this stage, what is expected of the Italian authorities, is to fulfil their international commitments to combat terrorism, to cooperate with Turkey in this field and not to permit the terrorist organisation and its affiliations to function in Italy. 
 
 5. Turkey will maintain its determination to combat terrorism. Terrorist chief, no matter where he may escape, will be held accountable before justice for the crimes he committed in our country."
1999-01-02,2/1/1999,Terör Şefi Abdullah'la İlgili Son Gelişmeler Hk. Öcalan (Resmi Olmayan Çeviri) 1 Şubat 1999,"Press Release Regarding The Recent Developments About Terrorist Chief Abdullah; Ocalan (Unofficial Translation) February 1, 1999",https://www.mfa.gov.tr/press-release-regarding-the-recent-developments-about-_br_terrorist-chief-abdullah_-ocalan_br__unofficial-translation__br_february-1_-1999.en.mfa,,0,0,0,0,0,0,1,PKK,0,0,"It appears that since yesterday the terrorist chief of the murder gang, Kurdistan Worker's Party (PKK) has been striving to take refuge in an EU member country such as Italy, the Netherlands or Greece with the help of various accomplices. 
 
 1) Upon these developments necessary initiatives have been taken in those countries immediately. In a statement made by the Italian Government yesterday afternoon, the allegations claiming that the terrorist chief was in Italy were categorically rejected, and it was emphasized that his return to Italy was regarded as not possible. This quick and sensitive reaction that the Italian Government displayed made us hopeful about establishing an effective co-operation between our countries to combat terrorism. However, with regard to the news indicating that the terrorist chief had landed on an airport on the north of Milano this time, the attitude that the Italian Government will follow will show how far we could depend on this hope. From the statement made by the Ministry of Justice of the Netherlands this morning, it is understood that no permission was given to the terrorist chief to land at the Rotterdam Airport. Concerning the news about the terrorist's entry in Greece; the Greeek ambassador who was invited to our Ministry today stated that the terrorist was not in Greece and that he would not be permitted to come to Greece. However, according to the news received following this meeting it was heard that the chief of the terrorist organisation had come to the Athens Airport on a private plane and that he was still waiting there. Also some information has been obtained from various resources indicating that the terrorist chief was in Greece. In a situation like this, the Greek authorities must immediately arrest this person in order to extradite him to Turkey. The Greek ambassador who was invited once again upon these developments said that the news in question did not reflect the truth. In view of this contradictory situation, we will continue to follow the developments. 
 
 As it can be remembered, our Government made it clear that it would consider it a hostile act if this terrorist is given shelter by a neighboring country. 
 
 2) After the terrorist chief has fled leaving behind children with an obscure destiny after having forced them into terrorist actions, it is apparent that he is only searching for a secure future for himself by hiring private planes and lawyers with the money he gained from PKK's drug trafficking, money laundering and extortion and that he is only struggling to take care of his individual interests. In this struggle, it is known that the terrorist chief is supported by drug trafficking, crime organisations and mafia. 
 
 3) From the information obtained by us it has been understood that the terrorist chief who is the first one to blame for great number of murders and other crimes that are committed by the terrorist organisation so far was not successful in finding a shelter in some Europe countries. 
 
 We expect all European countries to locate this terrorist's whereabouts and hand him over to the authorities to be held accountable for the crimes he committed."
